Case Number,APS Filed,Suspicious Activity,Gender,DOB,US Citizen,State,Product
2022-10-03024,No,Unusual/unexplained Activity,Female,6/17/1966,Yes,Georgia,Fixed Annuity
2022-10-03024,No,Unusual/unexplained Activity,Male,11/14/1963,Yes,Georgia,Fixed Annuity
2021-06-01815,No,Fraudulent Patterns,Female,6/16/1937,Yes,Michigan,Life Insurance
2021-08-02482,No,Unknown Source of Funds,Male,10/29/1962,Yes,New York,Life Insurance
2021-08-02482,No,Unknown Source of Funds,Female,11/6/1977,Yes,New York,Life Insurance
2022-07-02085,No,ACH Fraud,Male,7/19/1958,Yes,Nevada,Life Insurance
2021-12-03549,No,Fraudulent Patterns,Male,9/12/1953,Yes,Michigan,Life Insurance
2021-06-01845,No,Suspicious Call,Male,9/5/1956,Yes,California,Life Insurance
2021-10-03125,No,Suspicious Call,Female,12/7/1947,Yes,Pennsylvania,Fixed Annuity
2022-04-01149,No,ACH Fraud,Female,8/20/1954,Yes,Ohio,Retirement Plan
2021-12-03496,No,ACH Fraud,Male,3/5/1974,Yes,Washington,Life Insurance
2022-02-00426,No,Fraudulent Patterns,Male,3/5/1974,Yes,Washington,Life Insurance
2022-04-00942,No,Elder Financial Exploitation,Female,12/25/1940,Yes,Mississippi,Fixed Annuity
2022-09-02899,No,ACH Fraud,Male,4/26/1941,Yes,California,Retirement Plan
2022-10-02940,No,Fraudulent Patterns,Male,12/31/1956,Yes,Ohio,Variable Annuity
2021-08-02389,No,Elder Financial Exploitation,Female,2/26/1939,Yes,Illinois,Retirement Plan
2021-08-02261,No,Unusual/unexplained Activity,Male,5/21/1929,Yes,New York,Retirement Plan
2021-09-02582,No,Fraudulent Documents,Female,1/19/1979,Yes,California,Retirement Plan
2021-09-02582,No,Fraudulent Documents,Male,9/6/1949,Yes,California,Retirement Plan
2022-06-01651,No,Fraudulent Patterns,Female,10/4/1931,Yes,Illinois,Fixed Annuity
2021-02-00473,No,Suspicious Call,Female,11/7/1960,Yes,California,Life Insurance
2021-03-00622,No,ACH Fraud,Male,4/15/1937,Yes,New York,Life Insurance
2022-08-02422,No,Identity Theft,Male,3/11/1936,Yes,Louisiana,Life Insurance
2022-11-03508,No,Fraudulent Patterns,Female,6/23/1946,Yes,New Mexico,Life Insurance
2021-04-01197,No,Suspicious Call,Female,9/18/1963,Yes,Florida,Life Insurance
2021-06-01771,No,Money Laundering,Female,7/20/1972,Yes,California,Life Insurance
